"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","ADPT","ADPT_ATTRIBUTES","ASLP","ASLP_ATTRIBUTES","ASTP","ASTP_ATTRIBUTES","AWBT","AWBT_ATTRIBUTES","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","RHAV","RHAV_ATTRIBUTES","RHMN","RHMN_ATTRIBUTES","RHMX","RHMX_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00013743","1942-05","38.84721","-77.03454","4.1","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","","","","","","","","","","","93.2","Z","72.0",",Z","6",",Z","6",",Z","0",",Z","0",",Z","0",",Z","0",",Z","0",",Z","0",",Z","30",",Z","3",",Z","","","","","19420508",",,Z","19420531","+,,Z","19420531","+,,Z","","","19420504",",,Z","19420501",",,Z","10.0",",Z,08,","0",",,Z,31,+","0",",,Z,31,+","23.4",",,Z,04,","34.4",",Z,01,","2208.4","Z","12.9",",Z","89.2",",,,Z","","","","","","","","","0",",,,Z","20.24",",Z","25.65",",,,Z","14.84",",,,Z","","","","","","","","","","","","","","","","","","","","","",""
"USW00013743","1942-06","38.84721","-77.03454","4.1","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","","","","","","","","","","","243.6","Z","150.4",",Z","11",",Z","7",",Z","1",",Z","0",",Z","0",",Z","0",",Z","0",",Z","0",",Z","29",",Z","4",",Z","","","","","19420624",",,Z","19420630","+,,Z","19420630","+,,Z","","","19420626",",,Z","19420621",",,Z","13.9",",Z,24,","0",",,Z,30,+","0",",,Z,30,+","66.5",",,Z,26,","33.9",",Z,21,","2209.2","Z","0.8",",Z","94.7",",,,Z","","","","","","","","","0",",,,Z","23.32",",Z","28.00",",,,Z","18.63",",,,Z","","","","","","","","","","","","","","","","","","","","","",""
"USW00013743","1942-07","38.84721","-77.03454","4.1","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","","","","","","","","","","","478.6","Z","235.0",",Z","10",",Z","8",",Z","1",",Z","0",",Z","0",",Z","0",",Z","0",",Z","0",",Z","31",",Z","10",",Z","","","","","19420709","+,,Z","19420731","+,,Z","19420731","+,,Z","","","19420720",",,Z","19420719",",,Z","17.8",",Z,09,+","0",",,Z,31,+","0",",,Z,31,+","26.2",",,Z,20,","37.2",",Z,19,","0.0","Z","0.0",",Z","109.4",",,,Z","","","","","","","","","0",",,,Z","25.91",",Z","30.79",",,,Z","21.04",",,,Z","","","","","","","","","","","","","","","","","","","","","",""
"USW00013743","1942-08","38.84721","-77.03454","4.1","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","","","","","","","","","","","648.0","Z","169.4",",Z","11",",Z","8",",Z","5",",Z","0",",Z","0",",Z","0",",Z","0",",Z","0",",Z","31",",Z","3",",Z","","","","","19420826",",,Z","19420831","+,,Z","19420831","+,,Z","","","19420808",",,Z","19420802",",,Z","11.7",",Z,26,","0",",,Z,31,+","0",",,Z,31,+","144.5",",,Z,08,","34.4",",Z,02,","0.6","Z","0.6",",Z","294.9",",,,Z","","","","","","","","","0",",,,Z","23.78",",Z","28.06",",,,Z","19.49",",,,Z","","","","","","","","","","","","","","","","","","","","","",""
"USW00013743","1942-09","38.84721","-77.03454","4.1","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","","","","","","","","","","","766.9","Z","118.9",",Z","7",",Z","5",",Z","1",",Z","0",",Z","0",",Z","0",",Z","0",",Z","0",",Z","26",",Z","3",",Z","","","","","19420930",",,Z","19420930","+,,Z","19420930","+,,Z","","","19420927",",,Z","19420909",",,Z","4.4",",Z,30,","0",",,Z,30,+","0",",,Z,30,+","35.8",",,Z,27,","32.8",",Z,09,","30.6","Z","30.0",",Z","67.2",",,,Z","","","","","","","","","0",",,,Z","21.30",",Z","26.41",",,,Z","16.18",",,,Z","","","","","","","","","","","","","","","","","","","","","",""
"USW00013743","1942-10","38.84721","-77.03454","4.1","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","","","","","","","","","","","769.6","Z","2.7",",Z","9",",Z","8",",Z","4",",Z","0",",Z","0",",Z","0",",Z","1",",Z","0",",Z","15",",Z","0",",Z","","","","","19421028",",,Z","19421031","+,,Z","19421031","+,,Z","","","19421015",",,Z","19421009",",,Z","-1.1",",Z,28,","0",",,Z,31,+","0",",,Z,31,+","51.6",",,Z,15,","26.1",",Z,09,","122.9","Z","92.3",",Z","207.8",",,,Z","","","","","","","","","0",",,,Z","15.44",",Z","20.12",",,,Z","10.76",",,,Z","","","","","","","","","","","","","","","","","","","","","",""
"USW00013743","1942-11","38.84721","-77.03454","4.1","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","","","","","","","","","","","769.6","Z","0.0",",Z","10",",Z","6",",Z","0",",Z","0",",Z","0",",Z","0",",Z","4",",Z","0",",Z","3",",Z","0",",Z","","","","","19421115",",,Z","19421130","+,,Z","19421130","+,,Z","","","19421123",",,Z","19421120",",,Z","-3.9",",Z,15,","0",",,Z,30,+","0",",,Z,30,+","14.5",",,Z,23,","26.1",",Z,20,","411.9","Z","289.0",",Z","48.8",",,,Z","","","","","","","","","0",",,,Z","8.70",",Z","13.57",",,,Z","3.83",",,,Z","","","","","","","","","","","","","","","","","","","","","",""
"USW00013743","1942-12","38.84721","-77.03454","4.1","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","","","","","","","","","","","769.6","Z","0.0",",Z","15",",Z","8",",Z","1",",Z","4",",Z","1",",Z","0",",Z","22",",Z","2",",Z","0",",Z","0",",Z","","","","","19421221",",,Z","19421221",",,Z","19421220",",,Z","","","19421229",",,Z","19421201",",,Z","-17.2",",Z,21,","102",",,Z,21,","102",",,Z,20,","31.0",",,Z,29,","11.1",",Z,01,","939.5","Z","527.6",",Z","108.1",",,,Z","","","","","","","","","145",",,,Z","1.31",",Z","5.46",",,,Z","-2.84",",,,Z","","","","","","","","","","","","","","","","","","","","","",""
"USW00013743","1943-01","38.84721","-77.03454","4.1","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","","","","","","","","","","","0.0","Z","0.0",",Z","8",",Z","6",",Z","1",",Z","4",",Z","3",",Z","0",",Z","24",",Z","3",",Z","2",",Z","0",",Z","","","","","19430120",",,Z","19430131","+,,Z","19430128",",,Z","","","19430128",",,Z","19430117",",,Z","-9.4",",Z,20,","76",",,Z,31,+","76",",,Z,28,","35.6",",,Z,28,","22.2",",Z,17,","1442.4","Z","502.9",",Z","60.2",",,,Z","","","","","","","","","173",",,,Z","2.11",",Z","6.09",",,,Z","-1.87",",,,Z","","","","","","","","","","","","","","","","","","","","","",""
"USW00013743","1943-02","38.84721","-77.03454","4.1","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","","","","","","","","","","","0.0","Z","0.0",",Z","8",",Z","6",",Z","0",",Z","2",",Z","1",",Z","0",",Z","16",",Z","3",",Z","2",",Z","0",",Z","","","","","19430215",",,Z","19430201",",,Z","19430226",",,Z","","","19430211",",,Z","19430223",",,Z","-13.9",",Z,15,","51",",,Z,01,","25",",,Z,26,","21.3",",,Z,11,","21.7",",Z,23,","1859.3","Z","416.9",",Z","51.2",",,,Z","","","","","","","","","48",",,,Z","3.44",",Z","8.64",",,,Z","-1.75",",,,Z","","","","","","","","","","","","","","","","","","","","","",""
"USW00013743","1943-03","38.84721","-77.03454","4.1","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","","","","","","","","","","","0.0","Z","0.0",",Z","12",",Z","7",",Z","1",",Z","1",",Z","3",",Z","0",",Z","14",",Z","2",",Z","5",",Z","0",",Z","","","","","19430304",",,Z","19430322",",,Z","19430321",",,Z","","","19430306",",,Z","19430331",",,Z","-11.7",",Z,04,","127",",,Z,22,","76",",,Z,21,","27.7",",,Z,06,","27.8",",Z,31,","2210.5","Z","351.2",",Z","98.1",",,,Z","","","","","","","","","152",",,,Z","7.00",",Z","12.77",",,,Z","1.24",",,,Z","","","","","","","","","","","","","","","","","","","","","",""
"USW00013743","1943-04","38.84721","-77.03454","4.1","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","","","","","","","","","","","1.2","Z","1.2",",Z","10",",Z","5",",Z","1",",Z","0",",Z","0",",Z","0",",Z","7",",Z","0",",Z","6",",Z","0",",Z","","","","","19430416",",,Z","19430430","+,,Z","19430414","+,,Z","","","19430419",",,Z","19430425",",,Z","-1.7",",Z,16,","0",",,Z,30,+","0",",T,Z,14,+","32.5",",,Z,19,","26.7",",Z,25,","2443.3","Z","232.8",",Z","73.2",",,,Z","","","","","","","","","0",",T,,Z","10.61",",Z","16.58",",,,Z","4.64",",,,Z","","","","","","","","","","","","","","","","","","","","","",""
"USW00013743","1943-05","38.84721","-77.03454","4.1","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","","","","","","","","","","","72.3","Z","71.1",",Z","15",",Z","10",",Z","1",",Z","0",",Z","0",",Z","0",",Z","0",",Z","0",",Z","24",",Z","0",",Z","","","","","19430502",",,Z","19430531","+,,Z","19430531","+,,Z","","","19430528",",,Z","19430508","+,,Z","2.8",",Z,02,","0",",,Z,31,+","0",",,Z,31,+","33.3",",,Z,28,","31.7",",Z,08,+","2482.1","Z","38.8",",Z","134.6",",,,Z","","","","","","","","","0",",,,Z","19.38",",Z","24.78",",,,Z","13.97",",,,Z","","","","","","","","","","","","","","","","","","","","","",""
"USW00013743","1943-06","38.84721","-77.03454","4.1","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","","","","","","","","","","","304.1","Z","231.8",",Z","7",",Z","6",",Z","0",",Z","0",",Z","0",",Z","0",",Z","0",",Z","0",",Z","29",",Z","17",",Z","","","","","19430609",",,Z","19430630","+,,Z","19430630","+,,Z","","","19430609",",,Z","19430626","+,,Z","15.0",",Z,09,","0",",,Z,30,+","0",",,Z,30,+","19.1",",,Z,09,","35.0",",Z,26,+","2483.2","Z","1.1",",Z","58.5",",,,Z","","","","","","","","","0",",,,Z","26.02",",Z","30.79",",,,Z","21.26",",,,Z","","","","","","","","","","","","","","","","","","","","","",""
"USW00013743","1943-07","38.84721","-77.03454","4.1","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","","","","","","","","","","","528.5","Z","224.4",",Z","8",",Z","3",",Z","0",",Z","0",",Z","0",",Z","0",",Z","0",",Z","0",",Z","31",",Z","11",",Z","","","","","19430701",",,Z","19430731","+,,Z","19430731","+,,Z","","","19430710",",,Z","19430717","+,,Z","12.8",",Z,01,","0",",,Z,31,+","0",",,Z,31,+","22.6",",,Z,10,","34.4",",Z,17,+","0.0","Z","0.0",",Z","45.5",",,,Z","","","","","","","","","0",",,,Z","25.57",",Z","30.50",",,,Z","20.64",",,,Z","","","","","","","","","","","","","","","","","","","","","",""
"USW00013743","1943-08","38.84721","-77.03454","4.1","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","","","","","","","","","","","762.9","Z","234.4",",Z","7",",Z","2",",Z","0",",Z","0",",Z","0",",Z","0",",Z","0",",Z","0",",Z","31",",Z","18",",Z","","","","","19430820",",,Z","19430831","+,,Z","19430831","+,,Z","","","19430827",",,Z","19430810",",,Z","15.6",",Z,20,","0",",,Z,31,+","0",",,Z,31,+","4.6",",,Z,27,","36.7",",Z,10,","0.0","Z","0.0",",Z","14.5",",,,Z","","","","","","","","","0",",,,Z","25.89",",Z","31.46",",,,Z","20.32",",,,Z","","","","","","","","","","","","","","","","","","","","","",""
"USW00013743","1943-09","38.84721","-77.03454","4.1","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","","","","","","","","","","","837.4","Z","74.5",",Z","8",",Z","6",",Z","0",",Z","0",",Z","0",",Z","0",",Z","0",",Z","0",",Z","23",",Z","3",",Z","","","","","19430926",",,Z","19430930","+,,Z","19430930","+,,Z","","","19430903",",,Z","19430901",",,Z","7.8",",Z,26,","0",",,Z,30,+","0",",,Z,30,+","21.3",",,Z,03,","35.0",",Z,01,","32.1","Z","32.1",",Z","47.8",",,,Z","","","","","","","","","0",",,,Z","19.75",",Z","25.05",",,,Z","14.44",",,,Z","","","","","","","","","","","","","","","","","","","","","",""
"USW00013743","1943-10","38.84721","-77.03454","4.1","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","","","","","","","","","","","841.3","Z","3.9",",Z","8",",Z","4",",Z","1",",Z","0",",Z","0",",Z","0",",Z","0",",Z","0",",Z","10",",Z","0",",Z","","","","","19431021","+,,Z","19431031","+,,Z","19431031","+,,Z","","","19431026",",,Z","19431009","+,,Z","4.4",",Z,21,+","0",",,Z,31,+","0",",,Z,31,+","49.8",",,Z,26,","27.8",",Z,09,+","184.8","Z","152.7",",Z","79.6",",,,Z","","","","","","","","","0",",,,Z","13.53",",Z","18.53",",,,Z","8.54",",,,Z","","","","","","","","","","","","","","","","","","","","","",""
"USW00013743","1943-11","38.84721","-77.03454","4.1","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","","","","","","","","","","","841.3","Z","0.0",",Z","7",",Z","2",",Z","1",",Z","0",",Z","0",",Z","0",",Z","8",",Z","0",",Z","1",",Z","0",",Z","","","","","19431129","+,,Z","19431130","+,,Z","19431115","+,,Z","","","19431108",",,Z","19431108",",,Z","-2.2",",Z,29,+","0",",,Z,30,+","0",",T,Z,15,+","78.0",",,Z,08,","22.2",",Z,08,","489.0","Z","304.2",",Z","107.0",",,,Z","","","","","","","","","0",",T,,Z","8.19",",Z","13.41",",,,Z","2.98",",,,Z","","","","","","","","","","","","","","","","","","","","","",""
"USW00013743","1943-12","38.84721","-77.03454","4.1","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","","","","","","","","","","","841.3","Z","0.0",",Z","4",",Z","2",",Z","0",",Z","0",",Z","0",",Z","0",",Z","23",",Z","6",",Z","0",",Z","0",",Z","","","","","19431216",",,Z","19431229",",,Z","19431229","+,,Z","","","19431226",",,Z","19431203",",,Z","-10.0",",Z,16,","0",",T,Z,29,","0",",T,Z,29,+","24.9",",,Z,26,","18.3",",Z,03,","978.1","Z","489.1",",Z","31.7",",,,Z","","","","","","","","","0",",T,,Z","2.55",",Z","7.49",",,,Z","-2.38",",,,Z","","","","","","","","","","","","","","","","","","","","","",""
"USW00013743","1944-01","38.84721","-77.03454","4.1","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","","","","","","","","","","","0.0","Z","0.0",",Z","7",",Z","5",",Z","1",",Z","3",",Z","2",",Z","0",",Z","22",",Z","2",",Z","0",",Z","0",",Z","","","","","19440109",",,Z","19440116",",,Z","19440116","+,,Z","","","19440103",",,Z","19440128",",,Z","-8.3",",Z,09,","102",",,Z,16,","51",",,Z,16,+","33.0",",,Z,03,","20.0",",Z,28,","1457.7","Z","479.6",",Z","60.0",",,,Z","","","","","","","","","102",",,,Z","2.86",",Z","6.93",",,,Z","-1.21",",,,Z","","","","","","","","","","","","","","","","","","","","","",""
"USW00013743","1944-02","38.84721","-77.03454","4.1","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","","","","","","","","","","","0.0","Z","0.0",",Z","7",",Z","6",",Z","0",",Z","2",",Z","2",",Z","0",",Z","18",",Z","2",",Z","0",",Z","0",",Z","","","","","19440213",",,Z","19440229","+,,Z","19440211",",,Z","","","19440222",",,Z","19440224",",,Z","-7.8",",Z,13,","51",",,Z,29,+","51",",,Z,11,","14.7",",,Z,22,","20.6",",Z,24,","1896.2","Z","438.5",",Z","58.6",",,,Z","","","","","","","","","89",",,,Z","3.21",",Z","7.34",",,,Z","-0.92",",,,Z","","","","","","","","","","","","","","","","","","","","","",""
"USW00013743","1944-03","38.84721","-77.03454","4.1","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","","","","","","","","","","","0.9","Z","0.9",",Z","13",",Z","8",",Z","1",",Z","2",",Z","1",",Z","0",",Z","14",",Z","2",",Z","2",",Z","0",",Z","","","","","19440310",",,Z","19440321","+,,Z","19440319",",,Z","","","19440312",",,Z","19440316",",,Z","-7.2",",Z,10,","25",",,Z,21,+","25",",,Z,19,","31.2",",,Z,12,","26.7",",Z,16,","2281.9","Z","385.7",",Z","122.8",",,,Z","","","","","","","","","25",",,,Z","5.92",",Z","10.62",",,,Z","1.22",",,,Z","","","","","","","","","","","","","","","","","","","","","",""
"USW00013743","1944-04","38.84721","-77.03454","4.1","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","","","","","","","","","","","2.6","Z","1.7",",Z","13",",Z","8",",Z","0",",Z","0",",Z","0",",Z","0",",Z","2",",Z","0",",Z","10",",Z","0",",Z","","","","","19440405",",,Z","19440405",",,Z","19440405","+,,Z","","","19440424",",,Z","19440409",",,Z","-1.1",",Z,05,","0",",T,Z,05,","0",",T,Z,05,+","16.0",",,Z,24,","27.8",",Z,09,","2477.6","Z","195.7",",Z","75.7",",,,Z","","","","","","","","","0",",T,,Z","11.87",",Z","17.24",",,,Z","6.49",",,,Z","","","","","","","","","","","","","","","","","","","","","",""
